data_captura,data_referencia,indice,numero_indice,variacao_diaria,variacao_mensal,variacao_anual,variacao_ultimos_12_meses,variacao_ultimos_24_meses,duration_du,peso_geral,carteira_a_mercado_rs_mil,numero_operacoes,quant_negociada_1000_titulos,valor_negociado_rs_mil,pmr,convexidade,yield_,redemption_yield
2026-06-08,2026-06-05,IMA-GERAL-EX-C,9895.50126500,-0.2771,-0.6444,4.6006,12.7690,23.4759,486,98.93,8136581710,5638,111846.13,170605875.49,880.032748450117,19.4457242280341,,
2026-06-08,2026-06-05,IMA-GERAL,10037.98460400,-0.2739,-0.6372,4.6233,12.6898,23.3719,490,100.00,8224578769,5638,111846.13,170605875.49,885.266003886422,19.4062990660064,,
2026-06-09,2026-06-08,IRF-M 1,20164.00343000,0.0217,0.1281,5.5664,14.3156,27.5797,93,6.26,514122894,174,14355.43,13624800.16,133.923583670786,0.453039730685563,14.3505447174704,14.3519082715146
2026-06-09,2026-06-08,IRF-M 1+,23910.47266000,-0.2942,-2.1525,1.6920,10.5205,19.8064,780,15.55,1277784633,530,31443.53,21209542.65,1216.81931698889,12.3811144183947,14.8787220445994,14.8913559600828
2026-06-09,2026-06-08,IRF-M,22202.02608200,-0.2038,-1.5094,2.7590,11.6090,22.2198,583,21.81,1791907527,704,45798.95,34834342.81,906.121649693462,8.95878587209857,14.7271807111097,14.8666991560181
2026-06-09,2026-06-08,IMA-B 5,11219.66262500,-0.1263,-0.7572,5.4467,11.6254,21.5778,459,10.39,853575557,1963,5540.37,25080396.07,678.175402417059,6.18982302135114,9.23156690201387,8.7108147593515
2026-06-09,2026-06-08,IMA-B 5+,12190.33658900,-0.4846,-3.5200,0.6685,5.6938,9.3658,2381,12.69,1042579325,737,1595.44,6500383.78,4709.532648593,129.64217753365,7.93746365279273,7.85627653327381
2026-06-09,2026-06-08,IMA-B,11240.31485900,-0.3236,-2.2956,2.7623,8.2846,14.3331,1516,23.08,1896154882,2700,7135.80,31580779.85,2894.77160823284,74.0687044751241,8.5200188607485,7.97265737346588
2026-06-09,2026-06-08,IMA-S,8625.62935200,0.0535,0.2690,6.0491,14.9638,28.9316,1,54.05,4441079986,452,692.32,13242962.33,1,0,,
2026-06-09,2026-06-08,IMA-GERAL-EX-C,9886.45376100,-0.0914,-0.7352,4.5050,12.5634,23.6035,483,98.93,8129142395,3856,53627.08,79658084.99,875.499807465453,19.2516066057198,,
2026-06-09,2026-06-08,IMA-GERAL,10028.87417000,-0.0908,-0.7273,4.5283,12.4849,23.4963,487,100.00,8217114175,3856,53627.08,79658084.99,880.752723703809,19.2138372855994,,
2026-06-10,2026-06-09,IRF-M 1,20171.47080000,0.0370,0.1652,5.6055,14.2743,27.6270,92,6.26,514313290,67,6037.21,5899023.30,132.903699798152,0.447282060616884,14.3798798667427,14.4027295184122
2026-06-10,2026-06-09,IRF-M 1+,23898.85280000,-0.0486,-2.2000,1.6426,10.2074,19.7481,779,15.54,1277163663,569,32642.75,22791642.98,1215.78741746554,12.3500453293178,14.9250047668069,14.9299083539041
2026-06-10,2026-06-09,IRF-M,22196.69120400,-0.0240,-1.5331,2.7343,11.3752,22.1904,582,21.79,1791476953,636,38679.96,28690666.28,904.903436052503,8.93289316937816,14.7685054155521,14.906011469604
2026-06-10,2026-06-09,IMA-B 5,11220.53871500,0.0078,-0.7495,5.4549,11.5466,21.5873,458,10.38,853642208,1625,7368.78,33184521.99,677.086061321685,6.17006559914737,9.30559009983955,8.74101276572555
2026-06-10,2026-06-09,IMA-B 5+,12203.59444300,0.1088,-3.4151,0.7780,6.0192,9.4847,2383,12.70,1043713204,1104,2482.59,10083245.65,4710.97031746594,129.831763682038,7.935312094357,7.84976205045985
2026-06-10,2026-06-09,IMA-B,11247.43154500,0.0633,-2.2337,2.8273,8.4549,14.4055,1516,23.08,1897355412,2729,9851.37,43267767.64,2896.07899948972,74.1949312977207,8.55181606359611,7.97073889834437
2026-06-10,2026-06-09,IMA-S,8630.24125000,0.0535,0.3226,6.1058,14.9635,29.0006,1,54.05,4443454515,578,912.84,17471613.50,1,0,,
2026-06-10,2026-06-09,IMA-GERAL-EX-C,9890.27800400,0.0387,-0.6968,4.5454,12.5533,23.6513,482,98.93,8132286881,3943,49444.17,89430047.43,875.577604912045,19.2783689270045,,
2026-06-10,2026-06-09,IMA-GERAL,10032.80578400,0.0392,-0.6884,4.5693,12.4775,23.5447,487,100.00,8220335525,3943,49444.17,89430047.43,880.821506192775,19.2400489820619,,
2026-06-11,2026-06-10,IRF-M 1,20183.17713200,0.0580,0.2233,5.6668,14.2622,27.6730,91,6.25,514611767,99,18130.42,17643681.05,131.908038663942,0.442183461971309,14.3722292744962,14.3880597878594
2026-06-11,2026-06-10,IRF-M 1+,23904.46540000,0.0235,-2.1771,1.6665,9.9517,19.5026,778,15.52,1277463602,655,43004.15,30239542.01,1214.59284978188,12.3211758175069,14.9316577968608,14.9417303754426
