data_captura,data_referencia,tipo_ativo,codigo,isin,limite_quantidade
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BGWH39,BRBGWHBDR003,2837000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BHDV39,BRBHDVBDR002,1948000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BHEF39,BRBHEFBDR003,2236000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BHVN34,BRBHVNBDR001,2340000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIBB39,BRBIBBBDR006,4323000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BICL39,BRBICLBDR003,1842000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIDU34,BRBIDUBDR002,5888000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIEF39,BRBIEFBDR001,3415000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIEI39,BRBIEIBDR005,3588000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIEM39,BRBIEMBDR007,3697000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIET39,BRBIETBDR002,10319000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIEU39,BRBIEUBDR000,1790000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIGF39,BRBIGFBDR006,1137000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIHI39,BRBIHIBDR008,11874000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIIB34,BRBIIBBDR001,1646000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIJH39,BRBIJHBDR006,11627000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIJR39,BRBIJRBDR005,2670000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIJS39,BRBIJSBDR003,1052000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BILB34,BRBILBBDR005,847000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BILF39,BRBILFBDR006,1703000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BITB39,BRBITBBDR008,3229000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BITO39,BRBITOBDR001,2743000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIVB39,BRBIVBBDR004,2418000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIVE39,BRBIVEBDR008,2803000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIVW39,BRBIVWBDR000,2703000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIWF39,BRBIWFBDR003,2194000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIWM39,BRBIWMBDR009,3434000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIXC39,BRBIXCBDR008,831000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIXU39,BRBIXUBDR000,2792000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIYF39,BRBIYFBDR009,1888000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIYP39,BRBIYPBDR008,4679000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIYT39,BRBIYTBDR000,3756000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIYW39,BRBIYWBDR004,7731000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BIZD11,BRBIZDCTF000,450000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BJQU39,BRBJQUBDR002,1146000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BKNG34,BRBKNGBDR006,1136000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BKSA39,BRBKSABDR008,929000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BKWB39,BRBKWBBDR008,1061000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BKYY39,BRBKYYBDR006,932000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BLAK34,BRBLAKBDR003,2345000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BLPX39,BRBLPXBDR004,842000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BMTU39,BRBMTUBDR000,3042000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BMYB34,BRBMYBBDR000,756000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BNDA39,BRBNDABDR004,2590000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BNSB34,BRBNSBBDR000,3316000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BOAC34,BRBOACBDR004,3262000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BOEF39,BRBOEFBDR009,2467000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BOEI34,BRBOEIBDR003,174000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BONY34,BRBONYBDR001,393000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BOTZ39,BRBOTZBDR005,1065000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BOVA11,BRBOVACTF003,24383000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BOVB11,BRBOVBCTF001,23332000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BOVS11,BRBOVSCTF005,30819000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BOVV11,BRBOVVCTF009,23216000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BOVX11,BRBOVXCTF005,233804000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BOXP34,BRBOXPBDR008,5186000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BPAC11,BRBPACUNT006,20437000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BPAN4,BRBPANACNPR1,2993000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BPVE39,BRBPVEBDR003,1554000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BQTC39,BRBQTCBDR009,1665000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BQUA39,BRBQUABDR001,2987000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BQYL39,BRBQYLBDR000,6430000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BRAP4,BRBRAPACNPR2,10005000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BRAV3,BRBRAVACNOR3,21082000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BRAX11,BRBRAXCTF002,135277000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BRAZ11,BRBRAZCTF007,130973000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BRFS3,BRBRFSACNOR8,20545000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BRKM5,BRBRKMACNPA4,8522000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BRSR6,BRBRSRACNPB4,3705000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BSCZ39,BRBSCZBDR002,3536000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BSDY39,BRBSDYBDR003,3308000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BSHV39,BRBSHVBDR000,3196000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BSHY39,BRBSHYBDR004,3416000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BSIL39,BRBSILBDR009,2227000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BSOX39,BRBSOXBDR002,6763000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BTLH39,BRBTLHBDR009,3523000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BTLT39,BRBTLTBDR004,6172000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BUFF39,BRBUFFBDR003,3003000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BURA39,BRBURABDR009,2958000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BURT39,BRBURTBDR009,2418000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BUSM39,BRBUSMBDR002,3050000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BVLU39,BRBVLUBDR008,2079000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,C1AB34,BRC1ABBDR009,23803000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,C1AG34,BRC1AGBDR008,1566000.0
