data_captura,data_referencia,periodo,classe,segmento_investidor,tipo_metodologia,metrica,prazo,valor,data
2026-06-19,2026-04-30,04/2026,RF DI,EFPC,Captação Líquida Dados Consolidados,media_simples,21,0.1108,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,OUTROS,Resgate Dados Consolidados,EWMA_97,126,1.0,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,OUTROS,Resgate Dados Consolidados,media_simples,2,0.0207,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,PJ,Captação Líquida Dados Consolidados,media_simples,126,0.4722,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,INSTITUCIONAIS,Captação Líquida Dados Consolidados,media_simples,21,0.0329,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,PRIVATE,Resgate Dados Consolidados,media_simples,42,0.0538,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,PJ,Captação Líquida Dados Consolidados,media_simples,63,0.069,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,PRIVATE,Resgate Dados Consolidados,media_simples,10,0.0084,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,VAREJO,Resgate Dados Consolidados,EWMA_97,1,0.0026,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,EFPC,Captação Líquida Dados Consolidados,EWMA_97,5,0.0018,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,EFPC,Resgate Dados Consolidados,EWMA_94,3,0.0017,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,PJ,Resgate Dados Consolidados,EWMA_97,126,0.6157,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,EFPC,Captação Líquida Dados Consolidados,EWMA_97,63,0.0674,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,VAREJO,Resgate Dados Consolidados,EWMA_97,3,0.0048,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,INSTITUCIONAIS,Resgate Dados Consolidados,EWMA_97,10,0.0383,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,EFPC,Captação Líquida Dados Consolidados,EWMA_97,42,0.0169,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,INSTITUCIONAIS,Captação Líquida Dados Consolidados,media_simples,4,0.0065,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,OUTROS,Resgate Dados Consolidados,media_simples,21,0.1133,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,PJ,Captação Líquida Dados Consolidados,media_simples,42,0.1738,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,PRIVATE,Resgate Dados Consolidados,EWMA_94,63,0.091,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,EFPC,Resgate Dados Consolidados,EWMA_97,2,0.0015,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,PJ,Captação Líquida Dados Consolidados,media_simples,1,0.0024,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,PRIVATE,Captação Líquida Dados Consolidados,EWMA_97,1,0.0021,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,EFPC,Captação Líquida Dados Consolidados,media_simples,42,0.0415,2026/04/30
