data_captura,titulo,vencimento,preco_unitario,preco_retorno,posicao_custodia
2026-06-13,760197,2028-05-15,118.76557698,0.00000000,3848450
2026-06-13,760197,2028-08-15,116.17252363,0.00000000,3067870
2026-06-13,760197,2028-11-15,113.86783176,0.00000000,3848450
2026-06-13,760197,2029-02-15,111.75211849,0.00000000,2745671
2026-06-13,760197,2029-05-15,109.59765822,0.00000000,3848450
2026-06-13,760197,2029-08-15,107.26381678,0.00000000,2745671
2026-06-13,760197,2029-11-15,105.01342693,0.00000000,3687415
2026-06-13,760197,2030-02-15,102.83562525,0.00000000,2745671
2026-06-13,760197,2030-05-15,100.82583871,0.00000000,3687415
2026-06-13,760197,2030-08-15,98.72093346,0.00000000,2745671
2026-06-13,760197,2030-11-15,96.71164440,0.00000000,3687415
2026-06-13,760197,2031-02-15,94.89386383,0.00000000,2362053
2026-06-13,760197,2031-05-15,93.21184340,0.00000000,3687415
2026-06-13,760197,2031-08-15,91.33191261,0.00000000,2362053
2026-06-13,760197,2031-11-15,89.45403884,0.00000000,3677100
2026-06-13,760197,2032-02-15,87.78480513,0.00000000,2362053
2026-06-13,760197,2032-05-15,86.08343351,0.00000000,3677100
2026-06-13,760197,2032-08-15,84.42315035,0.00000000,2362053
2026-06-13,760197,2032-11-15,82.89556374,0.00000000,3677100
2026-06-13,760197,2033-02-15,81.35440260,0.00000000,2145109
2026-06-13,760197,2033-05-15,79.94251315,0.00000000,3677100
2026-06-13,760197,2033-08-15,78.44503608,0.00000000,2145109
2026-06-13,760197,2033-11-15,77.00733764,0.00000000,3608353
2026-06-13,760197,2034-02-15,75.56078129,0.00000000,2145109
2026-06-13,760197,2034-05-15,74.30070519,0.00000000,3608353
2026-06-13,760197,2034-08-15,72.92202890,0.00000000,2145109
2026-06-13,760197,2034-11-15,71.61864725,0.00000000,3608353
2026-06-13,760197,2035-02-15,70.40661632,0.00000000,2145109
2026-06-13,760197,2035-05-15,69.20291463,0.00000000,3608353
2026-06-13,760197,2035-08-15,67.95148729,0.00000000,2145109
2026-06-13,760197,2035-11-15,66.76859953,0.00000000,1995437
2026-06-13,760197,2036-02-15,65.63225405,0.00000000,2145109
2026-06-13,760197,2036-05-15,64.57549889,0.00000000,1995437
2026-06-13,760197,2036-08-15,63.43795933,0.00000000,2145109
2026-06-13,760197,2036-11-15,62.31035086,0.00000000,1995437
2026-06-13,760197,2037-02-15,61.27516400,0.00000000,2145109
2026-06-13,760197,2037-05-15,60.31078531,0.00000000,1995437
2026-06-13,760197,2037-08-15,59.25684075,0.00000000,2145109
2026-06-13,760197,2037-11-15,58.24863499,0.00000000,1944194
2026-06-13,760197,2038-02-15,57.23972362,0.00000000,2145109
2026-06-13,760197,2038-05-15,56.24857487,0.00000000,1944194
2026-06-13,760197,2038-08-15,55.21274609,0.00000000,2145109
2026-06-13,760197,2038-11-15,54.21577699,0.00000000,1944194
2026-06-13,760197,2039-02-15,53.18023378,0.00000000,2145109
2026-06-13,760197,2039-05-15,52.23568627,0.00000000,1944194
2026-06-13,760197,2039-08-15,51.24294391,0.00000000,2145109
2026-06-13,760197,2039-11-15,50.28340671,0.00000000,1944194
2026-06-13,760197,2040-02-15,49.34425712,0.00000000,2145109
2026-06-13,760197,2040-05-15,48.44265906,0.00000000,1944194
2026-06-13,760197,2040-08-15,47.52449882,0.00000000,2145109
2026-06-13,760197,2040-11-15,46.65767415,0.00000000,1944194
2026-06-13,760197,2041-02-15,45.82131368,0.00000000,1813042
2026-06-13,760197,2041-05-15,45.04046970,0.00000000,1944194
2026-06-13,760197,2041-08-15,44.19682533,0.00000000,1813042
2026-06-13,760197,2041-11-15,43.35760727,0.00000000,1944194
2026-06-13,760197,2042-02-15,42.58485291,0.00000000,1813042
2026-06-13,760197,2042-05-15,41.87532703,0.00000000,1944194
2026-06-13,760197,2042-08-15,41.09518399,0.00000000,1813042
2026-06-13,760197,2042-11-15,40.31890137,0.00000000,1944194
2026-06-13,760197,2043-02-15,39.62673530,0.00000000,1813042
2026-06-13,760197,2043-05-15,38.93595387,0.00000000,1944194
2026-06-13,760197,2043-08-15,38.21388392,0.00000000,1813042
2026-06-13,760197,2043-11-15,37.53829608,0.00000000,1944194
2026-06-13,760197,2044-02-15,36.87525328,0.00000000,1813042
2026-06-13,760197,2044-05-15,36.23486750,0.00000000,1944194
2026-06-13,760197,2044-08-15,35.57544688,0.00000000,1813042
2026-06-13,760197,2044-11-15,34.93850009,0.00000000,1944194
2026-06-13,760197,2045-02-15,34.29368653,0.00000000,1813042
2026-06-13,760197,2045-05-15,33.72866207,0.00000000,1944194
2026-06-13,760197,2045-08-15,33.10697029,0.00000000,1813042
2026-06-13,760197,2045-11-15,32.51597560,0.00000000,127551
2026-06-13,760197,2046-02-15,31.96350767,0.00000000,1813042
2026-06-13,760197,2046-05-15,31.41202331,0.00000000,127551
2026-06-13,760197,2046-08-15,30.83547124,0.00000000,1813042
2026-06-13,760197,2046-11-15,30.28737496,0.00000000,127551
2026-06-13,760197,2047-02-15,29.75807965,0.00000000,1813042
2026-06-13,760197,2047-05-15,29.26352764,0.00000000,127551
2026-06-13,760197,2047-08-15,28.72879992,0.00000000,1813042
2026-06-13,760197,2047-11-15,28.19649222,0.00000000,127551
2026-06-13,760197,2048-02-15,27.70602921,0.00000000,1813042
2026-06-13,760197,2048-05-15,27.24775837,0.00000000,127551
2026-06-13,760197,2048-08-15,26.75225813,0.00000000,1813042
2026-06-13,760197,2048-11-15,26.28861570,0.00000000,127551
2026-06-13,760197,2049-02-15,25.83358474,0.00000000,1813042
2026-06-13,760197,2049-05-15,25.39414301,0.00000000,127551
2026-06-13,760197,2049-08-15,24.94172302,0.00000000,1813042
