data_captura,data_referencia,codigo_ativo_objeto,total_series,posicao_aberta_call,posicao_aberta_put,posicao_aberta_total,put_call_ratio,posicao_coberta,posicao_descoberta,posicao_trava,strike_max_oi_call,strike_max_oi_put
2026-09-13,2026-08-28,CPFE,207,1426900,1710400,3137300,1.1987,77200,2251300,808800,46.98,46.98
2026-09-13,2026-08-28,SAPR,254,1237500,1862500,3100000,1.5051,164300,1388300,1547400,39.4,37.08
2026-09-13,2026-08-28,LJQQ,73,1914600,1093400,3008000,0.5711,347000,2485900,175100,2.0,5.4
2026-09-13,2026-08-28,POSI,125,2100600,722600,2823200,0.344,264700,2098900,459600,3.55,3.82
2026-09-13,2026-08-28,RECV,109,1195800,1561100,2756900,1.3055,158700,2026500,571700,10.65,10.15
2026-09-13,2026-08-28,VIVA,186,981800,1590800,2572600,1.6203,235900,1320900,1015800,20.64,20.64
2026-09-13,2026-08-28,SMTO,128,1004400,1504400,2508800,1.4978,176000,1653500,679300,21.39,14.39
2026-09-13,2026-08-28,SLCE,145,1036606,1296550,2333156,1.2508,188101,1417912,727143,16.25,14.25
2026-09-13,2026-08-28,CASH,27,1450400,842100,2292500,0.5806,555000,1375300,362200,10.0,3.3
2026-09-13,2026-08-28,TTEN,92,1328000,916200,2244200,0.6899,104900,1703700,435600,22.13,12.63
2026-09-13,2026-08-28,AURA,72,939980,1101120,2041100,1.1714,103510,1359420,578170,202.51,101.51
2026-09-13,2026-08-28,PNVL,57,1742200,67100,1809300,0.0385,1347200,426500,35600,18.9,10.99
2026-09-13,2026-08-28,INTB,116,1175500,561600,1737100,0.4778,65300,1078500,593300,21.31,11.81
2026-09-13,2026-08-28,AURE,91,965700,745300,1711000,0.7718,266100,1386200,58700,11.19,11.19
2026-09-13,2026-08-28,PLPL,60,214400,1474000,1688400,6.875,22400,1645700,20300,7.71,6.71
2026-09-13,2026-08-28,GRND,89,931800,595600,1527400,0.6392,334100,1018400,174900,5.74,3.44
2026-09-13,2026-08-28,INBR,67,693160,747560,1440720,1.0785,41700,1160770,238250,27.95,24.95
2026-09-13,2026-08-28,TUPY,123,829100,561100,1390200,0.6768,129600,935400,325200,22.0,15.5
2026-09-13,2026-08-28,NVDC,77,599690,734660,1334350,1.2251,141240,857500,335610,24.98,24.98
2026-09-13,2026-08-28,JBSS,148,698880,583130,1282010,0.8344,322000,795970,164040,56.34,86.84
2026-09-13,2026-08-28,VULC,84,782900,493800,1276700,0.6307,122800,895100,258800,21.5,13.75
2026-09-13,2026-08-28,RIAA,123,586600,576400,1163000,0.9826,96800,472700,593500,13.75,8.3
2026-09-13,2026-08-28,KEPL,55,789200,367200,1156400,0.4653,44700,1065400,46300,9.18,6.98
2026-09-13,2026-08-28,SAUD,79,700400,437700,1138100,0.6249,336500,623600,178000,13.0,14.0
2026-09-13,2026-08-28,UNIP,89,686000,427400,1113400,0.623,332300,675000,106100,51.52,65.02
2026-09-13,2026-08-28,WIZC,61,891800,171100,1062900,0.1919,218900,726500,117500,11.37,8.52
2026-09-13,2026-08-28,ALPA,120,763700,270900,1034600,0.3547,48400,602300,383900,14.04,11.79
2026-09-13,2026-08-28,MYPK,78,356300,628900,985200,1.7651,127200,689800,168200,12.55,12.3
2026-09-13,2026-08-28,BMGB,76,557400,401900,959300,0.721,362100,514200,83000,5.43,4.86
2026-09-13,2026-08-28,MDNE,33,298000,621300,919300,2.0849,200,418200,500900,28.84,22.84
2026-09-13,2026-08-28,PGMN,23,573500,344200,917700,0.6002,50100,626000,241600,3.8,4.12
2026-09-13,2026-08-28,DXCO,80,270869,644933,915802,2.381,80800,736392,98610,5.75,5.0
2026-09-13,2026-08-28,MDIA,78,341200,544600,885800,1.5961,42700,609000,234100,17.45,15.95
2026-09-13,2026-08-28,MELI,72,452480,413820,866300,0.9146,58460,350400,457440,85.0,83.0
2026-09-13,2026-08-28,AMAR,40,508500,305200,813700,0.6002,124500,550300,138900,0.7,0.5
2026-09-13,2026-08-28,RANI,66,555300,115000,670300,0.2071,252200,339000,79100,10.93,7.93
2026-09-13,2026-08-28,SOJA,31,239328,287923,527251,1.203,77846,409005,40400,9.3,9.3
2026-09-13,2026-08-28,ABCB,84,244600,261300,505900,1.0683,103800,331100,71000,23.4,22.9
2026-09-13,2026-08-28,IVVB,64,54045,444026,498071,8.2159,3789,467257,27025,463.0,403.0
2026-09-13,2026-08-28,AMBP,6,469900,1100,471000,0.0023,177200,292700,1100,4.0,5.0
2026-09-13,2026-08-28,JALL,29,332800,128000,460800,0.3846,127200,299300,34300,4.99,2.99
2026-09-13,2026-08-28,MLAS,8,439800,0,439800,0.0,435200,4600,0,2.05,0.0
2026-09-13,2026-08-28,ALUP,77,230600,202100,432700,0.8764,26700,233200,172800,35.23,31.48
2026-09-13,2026-08-28,FESA,45,217900,214500,432400,0.9844,72200,335500,24700,7.38,5.58
2026-09-13,2026-08-28,LEVE,83,312300,108900,421200,0.3487,89700,223500,108000,33.35,32.35
2026-09-13,2026-08-28,TRIS,40,135731,211020,346751,1.5547,114781,161390,70580,4.65,5.06
2026-09-13,2026-08-28,BOVX,5,167700,167801,335501,1.0006,0,101,335400,10.0,10.0
2026-09-13,2026-08-28,MEAL,8,3100,313800,316900,101.2258,400,316400,100,2.8,2.8
2026-09-13,2026-08-28,ROMI,57,195000,110100,305100,0.5646,59300,186200,59600,13.35,5.55
2026-09-13,2026-08-28,ARML,20,7100,290400,297500,40.9014,5200,291300,1000,4.43,6.63
2026-09-13,2026-08-28,VLID,61,124500,140400,264900,1.1277,66500,138500,59900,20.52,17.02
2026-09-13,2026-08-28,HASH,141,69959,140233,210192,2.0045,23752,74322,112118,43.5,36.5
2026-09-13,2026-08-28,GOGL,47,126510,74690,201200,0.5904,22860,130220,48120,97.11,157.61
2026-09-13,2026-08-28,AMZO,12,78290,96720,175010,1.2354,1890,171620,1500,64.0,64.0
2026-09-13,2026-08-28,GGPS,28,104900,63300,168200,0.6034,97000,69500,1700,23.16,18.66
2026-09-13,2026-08-28,BLAU,28,49950,117500,167450,2.3524,21710,140740,5000,9.37,10.82
2026-09-13,2026-08-28,VVEO,8,131700,18100,149800,0.1374,122400,27400,0,2.0,10.0
2026-09-13,2026-08-28,M1TA,20,86360,63250,149610,0.7324,1930,138080,9600,108.59,108.59
2026-09-13,2026-08-28,CAML,24,82300,58300,140600,0.7084,74100,64400,2100,5.22,4.62
2026-09-13,2026-08-28,MTRE,15,64700,72900,137600,1.1267,52900,82900,1800,3.86,3.97
2026-09-13,2026-08-28,BMOB,29,91800,29200,121000,0.3181,12200,89400,19400,24.67,21.67
2026-09-13,2026-08-28,TASA,23,95700,10600,106300,0.1108,42600,59500,4200,7.09,4.49
2026-09-13,2026-08-28,EVEN,28,25800,80300,106100,3.1124,18900,82500,4700,5.08,6.08
2026-09-13,2026-08-28,SPCX,70,56160,48730,104890,0.8677,13730,59840,31320,51.5,42.0
2026-09-13,2026-08-28,MSFT,13,54980,48730,103710,0.8863,3350,99610,750,83.05,83.05
