data_captura,data_referencia,codigo,nome_emissor,dt_repactuacao_vencimento,indice_correcao,tx_compra,tx_venda,tx_indicativa,desvio_padrao,intervalo_indicativo_min,intervalo_indicativo_max,pu,ratio_pu_par_vne,duration,pct_reune,ref_ntnb
2026-06-05,2026-06-03,CEAB22,C E A MODAS S.A.,2028-05-13,DI + 2.4%,1.0818,0.6769,0.8646,0.0772,0.7874,0.9419,514.810917,101.9968,330.32,,
2026-06-05,2026-06-03,CEAP15,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*) (**),2029-05-14,DI + 1.2%,0.9,0.6423,0.7744,0.0616,0.7128,0.836,1017.086792,100.8845,526.83,,
2026-06-05,2026-06-03,CEAP16,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*) (**),2029-09-09,DI + 1.2%,0.9,0.6375,0.7771,0.0573,0.7198,0.8345,1045.144258,100.9529,571.14,,
2026-06-05,2026-06-03,CEBD14,CEB DISTRIBUICAO S/A (*) (**),2028-08-25,DI + 1.6%,1.3455,1.0509,1.175,0.0557,1.1193,1.2308,1047.923782,100.6323,379.11,,
2026-06-05,2026-06-03,CEBD25,CEB DISTRIBUICAO S/A (*) (**),2029-06-20,DI + 1.72%,1.5106,0.6166,1.057,0.0841,0.9729,1.1412,1084.043173,101.3355,511.91,,
2026-06-05,2026-06-03,CEEBA3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),2026-10-15,DI + 1.34%,1.1999,0.44,0.9025,0.126,0.7765,1.0285,1021.266618,100.1598,93,,
2026-06-05,2026-06-03,CEEBA6,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),2028-08-15,DI + 1.95%,1.643,1.2486,1.4516,0.0871,1.3645,1.5389,1055.108732,100.9124,467.29,,
2026-06-05,2026-06-03,CEEBA7,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),2028-11-15,DI + 1.18%,0.8711,0.4363,0.6519,0.1455,0.5063,0.7975,1018.789734,101.1132,533.33,,
2026-06-05,2026-06-03,CEEBA8,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),2029-06-10,DI + 0.95%,0.8877,0.4178,0.6211,0.1699,0.4512,0.7911,1079.508171,100.7711,593.58,,
2026-06-05,2026-06-03,CEEBB3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),2028-10-15,DI + 1.49%,1.3,0.8518,1.0833,0.0466,1.0366,1.13,1026.582051,100.6616,414.04,,
2026-06-05,2026-06-03,CEEBB4,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),2029-04-15,DI + 1.68%,1.163,0.5857,0.87,0.1093,0.7606,0.9794,1036.590315,101.6181,506.29,,
2026-06-05,2026-06-03,CEEBB8,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),2031-06-10,DI + 1.1%,0.9359,0.4486,0.7146,0.1281,0.5865,0.8427,1085.083851,101.2212,802.15,,
2026-06-05,2026-06-03,CEED16,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),2030-08-05,DI + 1.05%,0.7716,0.4919,0.6352,0.0136,0.6216,0.6488,1057.999809,101.0256,625.86,,
2026-06-05,2026-06-03,CEED18,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),2030-03-25,DI + 0.8%,0.7874,0.4566,0.6238,0.0763,0.5475,0.7002,1032.455204,100.5168,742.75,,
2026-06-05,2026-06-03,CEEDA0,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),2032-10-15,DI + 0.65%,0.8706,0.7,0.7825,0.0184,0.7641,0.8011,1013.74546,99.5112,938.08,45,
2026-06-05,2026-06-03,CEEDA1,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),2033-04-15,DI + 0.75%,0.8889,0.7002,0.7732,0.0399,0.7334,0.8132,1012.105046,99.9072,1015.89,50,
2026-06-05,2026-06-03,CEMTE2,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.(*) (**),2029-06-10,DI + 1.05%,0.9801,0.5017,0.7748,0.0471,0.7276,0.822,1076.576403,100.4508,415.95,,
2026-06-05,2026-06-03,CEPEA1,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),2026-10-15,DI + 1.39%,1.121,0.4837,0.8693,0.1865,0.6829,1.0559,1021.642595,100.1902,93,,
2026-06-05,2026-06-03,CEPEA3,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),2028-11-15,DI + 1.18%,0.886,0.5555,0.7166,0.0929,0.6237,0.8095,1017.405182,100.9757,533.27,,
2026-06-05,2026-06-03,CEPEA4,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),2029-03-18,DI + 1.18%,1.0518,0.7029,0.882,0.0963,0.7857,0.9784,1037.90633,100.6788,578.18,,
2026-06-05,2026-06-03,CEPEB1,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*) (**),2028-10-15,DI + 1.54%,1.2245,0.547,0.8947,0.1226,0.7721,1.0174,1030.633828,101.0524,414.1,,
2026-06-05,2026-06-03,CEPEB2,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),2029-04-15,DI + 1.68%,1.3182,0.6889,1.0044,0.2393,0.7651,1.2438,1033.821463,101.3466,506.11,,
